Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019-04-14,29-231,HOU,,UTA,W (+32),1,32:41,11,26,.423,4,10,.400,3,3,1.000,2,6,8,10,0,1,3,5,29,21.1,+18
2,2,2019-04-17,29-234,HOU,,UTA,W (+20),1,33:26,11,24,.458,6,13,.462,4,5,.800,2,11,13,10,0,1,8,2,32,22.8,+24
3,3,2019-04-20,29-237,HOU,@,UTA,W (+3),1,38:48,3,20,.150,2,13,.154,14,16,.875,0,4,4,10,6,1,4,5,22,17.3,+4
4,4,2019-04-22,29-239,HOU,@,UTA,L (-16),1,38:19,8,19,.421,6,12,.500,8,8,1.000,0,3,3,4,2,0,8,2,30,16.8,-12
5,5,2019-04-24,29-241,HOU,,UTA,W (+7),1,38:42,10,26,.385,3,12,.250,3,5,.600,1,5,6,6,3,4,5,5,26,16.2,+19
6,6,2019-04-28,29-245,HOU,@,GSW,L (-4),1,38:40,9,28,.321,4,16,.250,13,14,.929,0,4,4,6,3,0,4,3,35,21.8,+3
7,7,2019-04-30,29-247,HOU,@,GSW,L (-6),1,34:24,9,19,.474,3,7,.429,8,9,.889,0,7,7,4,1,0,6,4,29,17.2,-9
8,8,2019-05-04,29-251,HOU,,GSW,W (+5),1,45:26,14,32,.438,5,13,.385,8,8,1.000,2,7,9,6,1,0,3,4,41,28.3,-4
9,9,2019-05-06,29-253,HOU,,GSW,W (+4),1,39:57,13,29,.448,6,17,.353,6,8,.750,1,9,10,4,0,2,2,4,38,26.1,+7
10,10,2019-05-08,29-255,HOU,@,GSW,L (-5),1,44:53,10,16,.625,3,9,.333,8,10,.800,0,4,4,8,4,1,2,4,31,30.9,0
11,11,2019-05-10,29-257,HOU,,GSW,L (-5),1,38:54,11,25,.440,6,15,.400,7,12,.583,1,7,8,5,4,0,6,3,35,23.0,-10
